date,temperature
2026-04-07 06:00:00,27.1
2026-04-07 08:00:00,29.3
2026-04-07 10:00:00,32.5
2026-04-07 12:00:00,35.2
2026-04-07 14:00:00,36.4
2026-04-07 16:00:00,34.8
2026-04-07 18:00:00,31.2
2026-04-07 20:00:00,28.5
2026-04-08 06:00:00,26.8
2026-04-08 08:00:00,28.9
2026-04-08 10:00:00,33.1
2026-04-08 12:00:00,35.8
2026-04-08 14:00:00,37.0
2026-04-08 16:00:00,35.3
2026-04-08 18:00:00,31.8
2026-04-08 20:00:00,28.2
2026-04-09 06:00:00,27.4
2026-04-09 08:00:00,30.1
2026-04-09 10:00:00,33.8
2026-04-09 12:00:00,36.1
2026-04-09 14:00:00,37.5
2026-04-09 16:00:00,35.9
2026-04-09 18:00:00,32.4
2026-04-09 20:00:00,29.0
